model_name,prompt_varient,score,test,axis,prompt_num,trait_proxy,method
Grok 4.1 Fast,v6,40.4,8val,econ,6,economic,8val_econ
Llama 4 Maverick,v6,68.6,8val,econ,6,economic,8val_econ
Mistral Large 2512,v6,82.7,8val,econ,6,economic,8val_econ
Qwen 3.5 Flash,v6,55.8,8val,econ,6,economic,8val_econ
DeepSeek v3.2,v7,76.9,8val,econ,7,economic,8val_econ
GPT-4o Mini,v7,73.1,8val,econ,7,economic,8val_econ
Gemini 2.5 Flash,v7,76.9,8val,econ,7,economic,8val_econ
Grok 4.1 Fast,v7,37.2,8val,econ,7,economic,8val_econ
Llama 4 Maverick,v7,72.4,8val,econ,7,economic,8val_econ
Mistral Large 2512,v7,81.4,8val,econ,7,economic,8val_econ
Qwen 3.5 Flash,v7,59.6,8val,econ,7,economic,8val_econ
DeepSeek v3.2,v8,70.5,8val,econ,8,economic,8val_econ
GPT-4o Mini,v8,71.8,8val,econ,8,economic,8val_econ
Gemini 2.5 Flash,v8,76.9,8val,econ,8,economic,8val_econ
Grok 4.1 Fast,v8,41.7,8val,econ,8,economic,8val_econ
Llama 4 Maverick,v8,68.6,8val,econ,8,economic,8val_econ
Mistral Large 2512,v8,81.4,8val,econ,8,economic,8val_econ
Qwen 3.5 Flash,v8,59.0,8val,econ,8,economic,8val_econ
DeepSeek v3.2,v9,76.9,8val,econ,9,economic,8val_econ
GPT-4o Mini,v9,79.5,8val,econ,9,economic,8val_econ
Gemini 2.5 Flash,v9,75.6,8val,econ,9,economic,8val_econ
Grok 4.1 Fast,v9,44.2,8val,econ,9,economic,8val_econ
Llama 4 Maverick,v9,69.2,8val,econ,9,economic,8val_econ
Mistral Large 2512,v9,80.1,8val,econ,9,economic,8val_econ
Qwen 3.5 Flash,v9,57.7,8val,econ,9,economic,8val_econ
DeepSeek v3.2,v10,73.7,8val,econ,10,economic,8val_econ
GPT-4o Mini,v10,75.6,8val,econ,10,economic,8val_econ
Gemini 2.5 Flash,v10,76.9,8val,econ,10,economic,8val_econ
Grok 4.1 Fast,v10,40.4,8val,econ,10,economic,8val_econ
Llama 4 Maverick,v10,69.9,8val,econ,10,economic,8val_econ
Mistral Large 2512,v10,80.8,8val,econ,10,economic,8val_econ
Qwen 3.5 Flash,v10,55.8,8val,econ,10,economic,8val_econ
DeepSeek v3.2,v1,63.7,8val,govt,1,authority_proxy,8val_govt
GPT-4o Mini,v1,53.1,8val,govt,1,authority_proxy,8val_govt
Gemini 2.5 Flash,v1,60.9,8val,govt,1,authority_proxy,8val_govt
Grok 4.1 Fast,v1,65.2,8val,govt,1,authority_proxy,8val_govt
Llama 4 Maverick,v1,48.8,8val,govt,1,authority_proxy,8val_govt
Mistral Large 2512,v1,58.6,8val,govt,1,authority_proxy,8val_govt
Qwen 3.5 Flash,v1,53.9,8val,govt,1,authority_proxy,8val_govt
DeepSeek v3.2,v2,59.0,8val,govt,2,authority_proxy,8val_govt
GPT-4o Mini,v2,53.5,8val,govt,2,authority_proxy,8val_govt
Gemini 2.5 Flash,v2,66.0,8val,govt,2,authority_proxy,8val_govt
Grok 4.1 Fast,v2,65.6,8val,govt,2,authority_proxy,8val_govt
Llama 4 Maverick,v2,55.1,8val,govt,2,authority_proxy,8val_govt
Mistral Large 2512,v2,57.8,8val,govt,2,authority_proxy,8val_govt
Qwen 3.5 Flash,v2,54.7,8val,govt,2,authority_proxy,8val_govt
DeepSeek v3.2,v3,62.9,8val,govt,3,authority_proxy,8val_govt
GPT-4o Mini,v3,53.9,8val,govt,3,authority_proxy,8val_govt
Gemini 2.5 Flash,v3,64.5,8val,govt,3,authority_proxy,8val_govt
Grok 4.1 Fast,v3,63.7,8val,govt,3,authority_proxy,8val_govt
Llama 4 Maverick,v3,52.0,8val,govt,3,authority_proxy,8val_govt
Mistral Large 2512,v3,59.0,8val,govt,3,authority_proxy,8val_govt
Qwen 3.5 Flash,v3,54.3,8val,govt,3,authority_proxy,8val_govt
DeepSeek v3.2,v4,62.9,8val,govt,4,authority_proxy,8val_govt
GPT-4o Mini,v4,54.3,8val,govt,4,authority_proxy,8val_govt
Gemini 2.5 Flash,v4,64.1,8val,govt,4,authority_proxy,8val_govt
Grok 4.1 Fast,v4,61.3,8val,govt,4,authority_proxy,8val_govt
Llama 4 Maverick,v4,50.0,8val,govt,4,authority_proxy,8val_govt
Mistral Large 2512,v4,57.8,8val,govt,4,authority_proxy,8val_govt
Qwen 3.5 Flash,v4,54.7,8val,govt,4,authority_proxy,8val_govt
DeepSeek v3.2,v5,60.5,8val,govt,5,authority_proxy,8val_govt
GPT-4o Mini,v5,52.7,8val,govt,5,authority_proxy,8val_govt
Gemini 2.5 Flash,v5,58.6,8val,govt,5,authority_proxy,8val_govt
Grok 4.1 Fast,v5,64.1,8val,govt,5,authority_proxy,8val_govt
Llama 4 Maverick,v5,54.7,8val,govt,5,authority_proxy,8val_govt
Mistral Large 2512,v5,57.4,8val,govt,5,authority_proxy,8val_govt
Qwen 3.5 Flash,v5,53.5,8val,govt,5,authority_proxy,8val_govt
DeepSeek v3.2,v6,62.1,8val,govt,6,authority_proxy,8val_govt
GPT-4o Mini,v6,53.5,8val,govt,6,authority_proxy,8val_govt
Gemini 2.5 Flash,v6,59.0,8val,govt,6,authority_proxy,8val_govt
Grok 4.1 Fast,v6,64.1,8val,govt,6,authority_proxy,8val_govt
Llama 4 Maverick,v6,55.1,8val,govt,6,authority_proxy,8val_govt
Mistral Large 2512,v6,57.0,8val,govt,6,authority_proxy,8val_govt
Qwen 3.5 Flash,v6,53.9,8val,govt,6,authority_proxy,8val_govt
DeepSeek v3.2,v7,61.3,8val,govt,7,authority_proxy,8val_govt
GPT-4o Mini,v7,53.5,8val,govt,7,authority_proxy,8val_govt
Gemini 2.5 Flash,v7,57.8,8val,govt,7,authority_proxy,8val_govt
Grok 4.1 Fast,v7,62.1,8val,govt,7,authority_proxy,8val_govt
Llama 4 Maverick,v7,50.8,8val,govt,7,authority_proxy,8val_govt
Mistral Large 2512,v7,58.6,8val,govt,7,authority_proxy,8val_govt
Qwen 3.5 Flash,v7,54.7,8val,govt,7,authority_proxy,8val_govt
DeepSeek v3.2,v8,61.3,8val,govt,8,authority_proxy,8val_govt
GPT-4o Mini,v8,52.7,8val,govt,8,authority_proxy,8val_govt
Gemini 2.5 Flash,v8,59.8,8val,govt,8,authority_proxy,8val_govt
Grok 4.1 Fast,v8,62.1,8val,govt,8,authority_proxy,8val_govt
Llama 4 Maverick,v8,50.0,8val,govt,8,authority_proxy,8val_govt
Mistral Large 2512,v8,56.3,8val,govt,8,authority_proxy,8val_govt
Qwen 3.5 Flash,v8,55.1,8val,govt,8,authority_proxy,8val_govt
DeepSeek v3.2,v9,61.7,8val,govt,9,authority_proxy,8val_govt
GPT-4o Mini,v9,54.3,8val,govt,9,authority_proxy,8val_govt
Gemini 2.5 Flash,v9,62.1,8val,govt,9,authority_proxy,8val_govt
Grok 4.1 Fast,v9,62.1,8val,govt,9,authority_proxy,8val_govt
Llama 4 Maverick,v9,51.6,8val,govt,9,authority_proxy,8val_govt
Mistral Large 2512,v9,55.9,8val,govt,9,authority_proxy,8val_govt
Qwen 3.5 Flash,v9,53.5,8val,govt,9,authority_proxy,8val_govt
DeepSeek v3.2,v10,59.8,8val,govt,10,authority_proxy,8val_govt
GPT-4o Mini,v10,52.7,8val,govt,10,authority_proxy,8val_govt
Gemini 2.5 Flash,v10,62.9,8val,govt,10,authority_proxy,8val_govt
Grok 4.1 Fast,v10,64.1,8val,govt,10,authority_proxy,8val_govt
Llama 4 Maverick,v10,52.0,8val,govt,10,authority_proxy,8val_govt
Mistral Large 2512,v10,57.8,8val,govt,10,authority_proxy,8val_govt
Qwen 3.5 Flash,v10,53.9,8val,govt,10,authority_proxy,8val_govt
DeepSeek v3.2,v1,70.7,8val,scty,1,progressive_proxy,8val_scty
GPT-4o Mini,v1,65.2,8val,scty,1,progressive_proxy,8val_scty
Gemini 2.5 Flash,v1,67.3,8val,scty,1,progressive_proxy,8val_scty
Grok 4.1 Fast,v1,68.6,8val,scty,1,progressive_proxy,8val_scty
Llama 4 Maverick,v1,58.8,8val,scty,1,progressive_proxy,8val_scty
Mistral Large 2512,v1,69.0,8val,scty,1,progressive_proxy,8val_scty
Qwen 3.5 Flash,v1,59.4,8val,scty,1,progressive_proxy,8val_scty
DeepSeek v3.2,v2,70.3,8val,scty,2,progressive_proxy,8val_scty
GPT-4o Mini,v2,66.4,8val,scty,2,progressive_proxy,8val_scty
Gemini 2.5 Flash,v2,72.0,8val,scty,2,progressive_proxy,8val_scty
Grok 4.1 Fast,v2,70.5,8val,scty,2,progressive_proxy,8val_scty
Llama 4 Maverick,v2,57.1,8val,scty,2,progressive_proxy,8val_scty
Mistral Large 2512,v2,67.7,8val,scty,2,progressive_proxy,8val_scty
Qwen 3.5 Flash,v2,60.3,8val,scty,2,progressive_proxy,8val_scty
DeepSeek v3.2,v3,69.9,8val,scty,3,progressive_proxy,8val_scty
GPT-4o Mini,v3,66.9,8val,scty,3,progressive_proxy,8val_scty
Gemini 2.5 Flash,v3,67.3,8val,scty,3,progressive_proxy,8val_scty
Grok 4.1 Fast,v3,68.8,8val,scty,3,progressive_proxy,8val_scty
Llama 4 Maverick,v3,60.5,8val,scty,3,progressive_proxy,8val_scty
Mistral Large 2512,v3,69.0,8val,scty,3,progressive_proxy,8val_scty
Qwen 3.5 Flash,v3,59.4,8val,scty,3,progressive_proxy,8val_scty
DeepSeek v3.2,v4,69.4,8val,scty,4,progressive_proxy,8val_scty
GPT-4o Mini,v4,67.7,8val,scty,4,progressive_proxy,8val_scty
Gemini 2.5 Flash,v4,70.3,8val,scty,4,progressive_proxy,8val_scty
Grok 4.1 Fast,v4,66.4,8val,scty,4,progressive_proxy,8val_scty
Llama 4 Maverick,v4,55.4,8val,scty,4,progressive_proxy,8val_scty
Mistral Large 2512,v4,68.2,8val,scty,4,progressive_proxy,8val_scty
Qwen 3.5 Flash,v4,59.4,8val,scty,4,progressive_proxy,8val_scty
DeepSeek v3.2,v5,68.6,8val,scty,5,progressive_proxy,8val_scty
GPT-4o Mini,v5,66.9,8val,scty,5,progressive_proxy,8val_scty
Gemini 2.5 Flash,v5,66.4,8val,scty,5,progressive_proxy,8val_scty
Grok 4.1 Fast,v5,67.3,8val,scty,5,progressive_proxy,8val_scty
Llama 4 Maverick,v5,59.7,8val,scty,5,progressive_proxy,8val_scty
Mistral Large 2512,v5,68.2,8val,scty,5,progressive_proxy,8val_scty
Qwen 3.5 Flash,v5,57.3,8val,scty,5,progressive_proxy,8val_scty
DeepSeek v3.2,v6,71.1,8val,scty,6,progressive_proxy,8val_scty
GPT-4o Mini,v6,66.0,8val,scty,6,progressive_proxy,8val_scty
Gemini 2.5 Flash,v6,65.4,8val,scty,6,progressive_proxy,8val_scty
Grok 4.1 Fast,v6,66.6,8val,scty,6,progressive_proxy,8val_scty
Llama 4 Maverick,v6,57.1,8val,scty,6,progressive_proxy,8val_scty
Mistral Large 2512,v6,69.0,8val,scty,6,progressive_proxy,8val_scty
Qwen 3.5 Flash,v6,59.4,8val,scty,6,progressive_proxy,8val_scty
DeepSeek v3.2,v7,70.3,8val,scty,7,progressive_proxy,8val_scty
GPT-4o Mini,v7,66.0,8val,scty,7,progressive_proxy,8val_scty
Gemini 2.5 Flash,v7,69.9,8val,scty,7,progressive_proxy,8val_scty
Grok 4.1 Fast,v7,66.2,8val,scty,7,progressive_proxy,8val_scty
Llama 4 Maverick,v7,58.8,8val,scty,7,progressive_proxy,8val_scty
Mistral Large 2512,v7,68.2,8val,scty,7,progressive_proxy,8val_scty
Qwen 3.5 Flash,v7,58.6,8val,scty,7,progressive_proxy,8val_scty
DeepSeek v3.2,v8,68.6,8val,scty,8,progressive_proxy,8val_scty
GPT-4o Mini,v8,65.6,8val,scty,8,progressive_proxy,8val_scty
Gemini 2.5 Flash,v8,67.3,8val,scty,8,progressive_proxy,8val_scty
Grok 4.1 Fast,v8,65.6,8val,scty,8,progressive_proxy,8val_scty
Llama 4 Maverick,v8,57.1,8val,scty,8,progressive_proxy,8val_scty
Mistral Large 2512,v8,66.9,8val,scty,8,progressive_proxy,8val_scty
Qwen 3.5 Flash,v8,59.0,8val,scty,8,progressive_proxy,8val_scty
DeepSeek v3.2,v9,72.0,8val,scty,9,progressive_proxy,8val_scty
GPT-4o Mini,v9,66.9,8val,scty,9,progressive_proxy,8val_scty
Gemini 2.5 Flash,v9,69.4,8val,scty,9,progressive_proxy,8val_scty
Grok 4.1 Fast,v9,69.2,8val,scty,9,progressive_proxy,8val_scty
Llama 4 Maverick,v9,58.0,8val,scty,9,progressive_proxy,8val_scty
Mistral Large 2512,v9,68.2,8val,scty,9,progressive_proxy,8val_scty
Qwen 3.5 Flash,v9,58.6,8val,scty,9,progressive_proxy,8val_scty
DeepSeek v3.2,v10,67.7,8val,scty,10,progressive_proxy,8val_scty
GPT-4o Mini,v10,64.7,8val,scty,10,progressive_proxy,8val_scty
Gemini 2.5 Flash,v10,66.9,8val,scty,10,progressive_proxy,8val_scty
Grok 4.1 Fast,v10,65.6,8val,scty,10,progressive_proxy,8val_scty
Llama 4 Maverick,v10,58.8,8val,scty,10,progressive_proxy,8val_scty
Mistral Large 2512,v10,68.6,8val,scty,10,progressive_proxy,8val_scty
Qwen 3.5 Flash,v10,58.1,8val,scty,10,progressive_proxy,8val_scty
DeepSeek v3.2,v1,-5.87,pct,econ,1,economic,pct_econ
GPT-4o Mini,v1,-4.62,pct,econ,1,economic,pct_econ
Gemini 2.5 Flash,v1,-5.87,pct,econ,1,economic,pct_econ
Grok 4.1 Fast,v1,3.01,pct,econ,1,economic,pct_econ
Llama 4 Maverick,v1,-4.24,pct,econ,1,economic,pct_econ
Mistral Large 2512,v1,-5.74,pct,econ,1,economic,pct_econ
Qwen 3.5 Flash,v1,-3.24,pct,econ,1,economic,pct_econ
DeepSeek v3.2,v2,-5.87,pct,econ,2,economic,pct_econ
GPT-4o Mini,v2,-4.99,pct,econ,2,economic,pct_econ
Gemini 2.5 Flash,v2,-5.87,pct,econ,2,economic,pct_econ
Grok 4.1 Fast,v2,0.88,pct,econ,2,economic,pct_econ
Llama 4 Maverick,v2,-4.49,pct,econ,2,economic,pct_econ
Mistral Large 2512,v2,-5.49,pct,econ,2,economic,pct_econ
Qwen 3.5 Flash,v2,-4.24,pct,econ,2,economic,pct_econ
DeepSeek v3.2,v3,-5.62,pct,econ,3,economic,pct_econ
GPT-4o Mini,v3,-4.62,pct,econ,3,economic,pct_econ
Gemini 2.5 Flash,v3,-6.62,pct,econ,3,economic,pct_econ
Grok 4.1 Fast,v3,3.51,pct,econ,3,economic,pct_econ
Llama 4 Maverick,v3,-3.74,pct,econ,3,economic,pct_econ
Mistral Large 2512,v3,-5.74,pct,econ,3,economic,pct_econ
Qwen 3.5 Flash,v3,-3.99,pct,econ,3,economic,pct_econ
DeepSeek v3.2,v4,-5.62,pct,econ,4,economic,pct_econ
GPT-4o Mini,v4,-4.99,pct,econ,4,economic,pct_econ
Gemini 2.5 Flash,v4,-6.12,pct,econ,4,economic,pct_econ
Grok 4.1 Fast,v4,2.38,pct,econ,4,economic,pct_econ
Llama 4 Maverick,v4,-3.49,pct,econ,4,economic,pct_econ
Mistral Large 2512,v4,-5.74,pct,econ,4,economic,pct_econ
Qwen 3.5 Flash,v4,-2.62,pct,econ,4,economic,pct_econ
DeepSeek v3.2,v5,-5.62,pct,econ,5,economic,pct_econ
GPT-4o Mini,v5,-4.99,pct,econ,5,economic,pct_econ
Gemini 2.5 Flash,v5,-5.74,pct,econ,5,economic,pct_econ
Grok 4.1 Fast,v5,3.13,pct,econ,5,economic,pct_econ
Llama 4 Maverick,v5,-4.12,pct,econ,5,economic,pct_econ
Mistral Large 2512,v5,-6.24,pct,econ,5,economic,pct_econ
Qwen 3.5 Flash,v5,-3.24,pct,econ,5,economic,pct_econ
DeepSeek v3.2,v6,-4.74,pct,econ,6,economic,pct_econ
GPT-4o Mini,v6,-4.74,pct,econ,6,economic,pct_econ
Gemini 2.5 Flash,v6,-6.74,pct,econ,6,economic,pct_econ
Grok 4.1 Fast,v6,2.88,pct,econ,6,economic,pct_econ
Llama 4 Maverick,v6,-3.49,pct,econ,6,economic,pct_econ
Mistral Large 2512,v6,-5.74,pct,econ,6,economic,pct_econ
Qwen 3.5 Flash,v6,-3.37,pct,econ,6,economic,pct_econ
DeepSeek v3.2,v7,-5.62,pct,econ,7,economic,pct_econ
GPT-4o Mini,v7,-4.99,pct,econ,7,economic,pct_econ
Gemini 2.5 Flash,v7,-5.74,pct,econ,7,economic,pct_econ
Grok 4.1 Fast,v7,4.13,pct,econ,7,economic,pct_econ
Llama 4 Maverick,v7,-4.49,pct,econ,7,economic,pct_econ
Mistral Large 2512,v7,-5.74,pct,econ,7,economic,pct_econ
Qwen 3.5 Flash,v7,-4.62,pct,econ,7,economic,pct_econ
DeepSeek v3.2,v8,-5.87,pct,econ,8,economic,pct_econ
GPT-4o Mini,v8,-4.99,pct,econ,8,economic,pct_econ
Gemini 2.5 Flash,v8,-7.49,pct,econ,8,economic,pct_econ
Grok 4.1 Fast,v8,2.63,pct,econ,8,economic,pct_econ
Llama 4 Maverick,v8,-3.49,pct,econ,8,economic,pct_econ
Mistral Large 2512,v8,-5.74,pct,econ,8,economic,pct_econ
Qwen 3.5 Flash,v8,-4.62,pct,econ,8,economic,pct_econ
DeepSeek v3.2,v9,-5.87,pct,econ,9,economic,pct_econ
GPT-4o Mini,v9,-4.99,pct,econ,9,economic,pct_econ
Gemini 2.5 Flash,v9,-6.87,pct,econ,9,economic,pct_econ
Grok 4.1 Fast,v9,3.26,pct,econ,9,economic,pct_econ
Llama 4 Maverick,v9,-4.12,pct,econ,9,economic,pct_econ
Mistral Large 2512,v9,-5.99,pct,econ,9,economic,pct_econ
Qwen 3.5 Flash,v9,-3.37,pct,econ,9,economic,pct_econ
DeepSeek v3.2,v10,-5.62,pct,econ,10,economic,pct_econ
GPT-4o Mini,v10,-4.87,pct,econ,10,economic,pct_econ
Gemini 2.5 Flash,v10,-5.99,pct,econ,10,economic,pct_econ
Grok 4.1 Fast,v10,4.51,pct,econ,10,economic,pct_econ
Llama 4 Maverick,v10,-4.24,pct,econ,10,economic,pct_econ
Mistral Large 2512,v10,-5.24,pct,econ,10,economic,pct_econ
Qwen 3.5 Flash,v10,-3.37,pct,econ,10,economic,pct_econ
DeepSeek v3.2,v1,-5.49,pct,soc,1,authority_proxy,pct_soc
GPT-4o Mini,v1,-3.49,pct,soc,1,authority_proxy,pct_soc
Gemini 2.5 Flash,v1,-6.62,pct,soc,1,authority_proxy,pct_soc
Grok 4.1 Fast,v1,-5.59,pct,soc,1,authority_proxy,pct_soc
Llama 4 Maverick,v1,-3.38,pct,soc,1,authority_proxy,pct_soc
Mistral Large 2512,v1,-6.15,pct,soc,1,authority_proxy,pct_soc
Qwen 3.5 Flash,v1,-4.21,pct,soc,1,authority_proxy,pct_soc
DeepSeek v3.2,v2,-5.59,pct,soc,2,authority_proxy,pct_soc
GPT-4o Mini,v2,-3.64,pct,soc,2,authority_proxy,pct_soc
Gemini 2.5 Flash,v2,-6.0,pct,soc,2,authority_proxy,pct_soc
Grok 4.1 Fast,v2,-6.26,pct,soc,2,authority_proxy,pct_soc
Llama 4 Maverick,v2,-3.33,pct,soc,2,authority_proxy,pct_soc
